"Organisation","gl11_q1_a/singleChoice","gl11_q1_b/singleChoice","gl11_q1_c_waste/singleChoice","gl11_q1_c_transport/singleChoice","gl11_q1_c_procurement/singleChoice","gl11_q1_c_water/singleChoice","gl11_q1_c_construction/singleChoice","gl11_q1_c_emissions/singleChoice","gl11_q1_c_community/singleChoice","gl11_q1_c_biodiversity/singleChoice","gl11_q1_c/singleChoice","gl11_q2_a_pt_sole/quantity","gl11_q2_b_ft_specific/quantity","gl11_q2_c_ft_partial/quantity","gl11_q2_d_ft_sole/quantity","gl11_q2/singleChoice","gl11_q2/quantity","gl11_q3_a_waste/singleChoice","gl11_q3_a_transport/singleChoice","gl11_q3_a_procurement/singleChoice","gl11_q3_a_energy/singleChoice","gl11_q3_a_water/singleChoice","gl11_q3_a_construction/singleChoice","gl11_q3_a_emissions/singleChoice","gl11_q3_a_biodiversity/singleChoice","gl11_q3_b/singleChoice","gl11_q4_a/singleChoice","gl11_q4_bc/singleChoice","gl11_q4_d/singleChoice","gl11_q5_a/singleChoice","gl11_q5_b/singleChoice","gl11_q5_c/singleChoice","gl11_q5_d/singleChoice","gl11_q5_e/singleChoice","gl11_q5_f/singleChoice","gl11_q6_a_fairtrade/gateway","gl11_q6_a_fairtrade/singleChoice","gl11_q6_a_fairtrade/multiChoice","gl11_q6_b/singleChoice","gl11_q6_c/singleChoice","gl11_q7_a/singleChoice","gl11_q7_b/singleChoice","gl11_q7_c_i/singleChoice","gl11_q7_c_ii_fish/singleChoice","gl11_q7_c_iii_veg/singleChoice","gl11_q7_c_iv_water/singleChoice","gl11_q7_c_v_award/singleChoice","gl11_q7_c/singleChoice","gl11_q8_a/singleChoice","gl11_q8_b/singleChoice","gl11_q8_c/singleChoice","gl11_q8_d/singleChoice","gl11_q8_e/singleChoice","gl11_q8_f/singleChoice","gl11_q8_g/singleChoice","gl11_q8_h/singleChoice","gl11_q8_i/singleChoice","gl11_q8_j/singleChoice","gl11_q8_k/singleChoice","gl11_q8_l/singleChoice","gl11_q8_m/singleChoice","gl11_q8/singleChoice","gl11_q9_a/singleChoice","gl11_q9_b/singleChoice","gl11_q9_c/singleChoice","gl11_q9_d/singleChoice","gl11_q9_e/singleChoice","gl11_q9/singleChoice","gl11_q10_1_energy_renewable_pc/singleChoice","gl11_q10_1_energy_renewable_pc/multiChoice","gl11_q10_1_energy_renewable_pc/quantity","gl11_q10_energy_total/singleChoice","gl11_q10_energy_total/multiChoice","gl11_q10_2_energy_chp/singleChoice","gl11_q10_2_energy_chp/multiChoice","gl11_q10_2_energy_chp/quantity","gl11_q10_3_energy_lzc/singleChoice","gl11_q10_3_energy_lzc/multiChoice","gl11_q10_3_energy_lzc/quantity","gl11_q11_waste_total/singleChoice","gl11_q11_waste_total/multiChoice","gl11_q11_1_waste_recycled/singleChoice","gl11_q11_1_waste_recycled/multiChoice","gl11_q11_1_waste_recycled/quantity","gl11_q11_2_waste_kgph/singleChoice","gl11_q11_2_waste_kgph/multiChoice","gl11_q11_2_waste_kgph/quantity","gl11_q12_carbon_total/singleChoice","gl11_q12_carbon_total/multiChoice","gl11_q12_1_carbon_ph/singleChoice","gl11_q12_1_carbon_ph/multiChoice","gl11_q12_1_carbon_ph/quantity","gl11_q12_2_carbon_reduction/singleChoice","gl11_q12_2_carbon_reduction/multiChoice","gl11_q12_2_carbon_reduction/quantity","gl11_q13_water_total/singleChoice","gl11_q13_water_total/multiChoice","gl11_q13_1_water_ph/singleChoice","gl11_q13_1_water_ph/multiChoice","gl11_q13_1_water_ph/quantity","gl11_q13_2_water_grey/singleChoice","gl11_q13_2_water_grey/multiChoice","gl11_q13_2_water_grey/quantity","gl11_total_score/singleChoice","gl11_total_score/quantity","gl11_rank/quantity","gl11_last_year_rank/quantity","gl11_class/singleChoice",""
"University of Aberdeen",1,2,"Yes","Yes","Yes","Yes","Yes","No","No","No",0,0,3,0,0,6,1.2,0.5,0.5,0,0.5,0.5,0.5,0,0,0,1,1,1,2,2,0,1,0.5,0,"Has achieved Fairtrade status",1,"",0.5,0,0,0,"Yes ","Yes","Yes","No","No",0.5,"Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","No","No",3,"No","No","Yes","No","No",0,0," (Nb: value not an option listed in question defniition)",0,3,"",1,"",7622596,2,"",8.03,4,"",2,"",36.57,2,"",94.21,1,"",1,"",1791.3,0,"",-12.63,1,"",1,"",15.98,0,"",0,25,34,45,34,"2:1",""
"University of Abertay Dundee",0,2,"No","No","No","No","No","No","No","No",0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,2,0,1,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","No","No","No",0,"No","No","No","No","No","Yes","No","Yes","No","No","Yes","No","No",1,"No","No","Yes","No","No",0,1," (Nb: value not an option listed in question defniition)",10,1,"",0,"",0,0,"",0,0,"",0,"D73_C01_waste_total:No EMS data, D73_C01a_waste_recycled:No EMS data, LY_D73_C1_waste_total:No EMS Last Year, LY_D73_C1_waste_recycled:No EMS Last Year",0,0,"D73_C01_waste_total:No EMS data, D04_C04_students_fte_teaching:3887.4, D04_C07_students_fte_research:53.0, D05_C01_staff_fte:575.1, LY_D73_C1_waste_total:No EMS Last Year, LY_fte:4333.34",0,3,"",3,"",912.35,0,"D38c_C01_carbon_total:4119704, Baseline_2005_carbon:No 2005 baseline, LY_D38c_C1_carbon:3670512.17",0,4,"",4,"",4.14,0,"",0,7.5,15.5,131,119,"Fail",""
"Aberystwyth University",1,2,"No","No","No","No","Yes","No","No","Yes",0,0,1,0,0,4,0.6,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0,0,0,2,0,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"Yes ","Yes","Yes","No","No",0.5,"Yes","Yes","No","No","Yes","No","No","No","No","Yes","Yes","Yes","No",2,"Yes","No","No","No","Yes",1,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,6,"",3,"",54.29,3,"",85.02,2,"",2,"",1475.41,0,"",-11.98,0,"",0,"",23.87,0,"",0,16,24,108,87,"3rd",""
"Anglia Ruskin University",1,2,"No","No","Yes","No","Yes","Yes","Yes","No",0,0,1,0,2,6,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4,0,0,0,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"Yes ","Yes","Yes","Yes","No",1,"Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","Yes","No",2,"No","No","Yes","Yes","No",1,1," (Nb: value not an option listed in question defniition)",21,1,"",0,"",0,0,"",0,3,"",2,"",43.44,1,"",194.84,6,"",6,"",504.4,0,"",-4.35,4,"",4,"",4.42,0,"",0,26,40,20,10,"1st",""
"Arts University College at Bournemouth",1,2,"No","Yes","No","No","No","No","No","No",0,0,0,0.8,0,6,1.4,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","Yes","Yes","No","No",0.5,"No","Yes","Yes","No","No","Yes","No","No","No","Yes","No","No","No",1,"No","No","Yes","No","No",0,3," (Nb: value not an option listed in question defniition)",100,4,"",0,"",0,1,"",0.14,3,"",0,"",18.46,3,"",83.16,6,"",6,"",468.44,0,"",-13.73,4,"",4,"",2.32,0,"",0,11,28,87,0,"2:2",""
"Aston University",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0,1.75,0.5,2.2,8,2.6,0.5,0.5,0,0.5,0.5,0.5,0,0.5,3,1,1,0,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"No","No","No","Yes","No",0,"No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No",3,"No","No","Yes","Yes","Yes",1,2," (Nb: value not an option listed in question defniition)",57.8,2,"",0,"",0,0,"",0,8,"",4,"",79.7,4,"",48.95,5,"",2,"",1431.62,3,"",15.09,4,"",4,"",3.78,0,"",0,30,49,4,5,"1st",""
"Bangor University",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","No","Yes",0,0,0,0.5,1,4,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0,0,1,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0.5,0,0.5,0.5,"Yes ","Yes","No","No","No",0.5,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No",3,"No","Yes","Yes","No","No",1,1," (Nb: value not an option listed in question defniition)",15,3,"",1,"",264515,1,"",0.05,3,"",1,"",29.67,2,"",102.05,4,"",3,"",1175.7,1,"",4.76,2,"",1,"",14.55,1,"",0.157,26,38,28,17,"1st",""
"Bath Spa University",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0,1,0.5,2,8,3.1,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,4,0,0,0,2,2,0,0,0,0,"",0,"MISSINGDATA",0,0,0.5,0,"No","No","No","No","No",0,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No",3,"No","No","Yes","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,7,"",3,"",60.27,4,"",36.36,7,"",6,"",596.09,1,"",2.97,4,"",3,"",6.17,1,"",0.0053,28,46,6,11,"1st",""
"University of Bath",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0.5,2,0,1,6,1.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,1,0,2,2,0,1,0.5,0.5,"Has achieved Fairtrade status",1,"",0,0,0,0,"Yes ","Yes","Yes","No","No",0.5,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",3,"No","No","No","No","No",0,2," (Nb: value not an option listed in question defniition)",86,4,"",1,"",520101,1,"",0.08,3,"",3,"",58.96,0,"",720.56,3,"",1,"",1698.38,2,"",6.3,0,"",0,"",23.05,0,"",0,26,36,37,77,"2:1",""
"University of Bedfordshire",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0,0,0.5,1,4,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,1,1,0,2,1,0,0,0.5,0,"",0,"MISSINGDATA",0,0,0.5,0.5,"No","Yes","Yes","No","No",0.5,"Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","Yes","No",2,"Yes","No","Yes","No","No",1,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,3,"",2,"",44.77,1,"",172.51,5,"",5,"",613.74,0,"",-31.31,2,"",2,"",8.01,0,"",0,23,33,55,124,"2:1",""
